answer_llm,answer_orig,document,question,course
"Yes, sessions are recorded if you miss one. You will not miss anything, and you can watch the recorded sessions at your convenience. Additionally, you can ask questions in advance for office hours, which are also recorded, or you can ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Yes, you can ask questions in advance if you can't attend a live stream. You can submit your questions for office hours ahead of time, and they will be covered during the live session. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, don't worry. All sessions are recorded, so you won't miss any information. You can submit your questions for office hours in advance, and they will be addressed during the live stream. Additionally, you can always ask your questions on Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Yes, there is a way to catch up on a missed session. Everything is recorded, so you won’t miss anything. Additionally, you can ask your questions for office hours in advance, and they will be covered during the live stream. You can also ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Yes, you can still interact with instructors after missing a session. Everything is recorded, so you won’t miss any content. You can ask your questions in advance for office hours and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"The course includes the bare minimum of theoretical content. The focus is predominantly on practical aspects, covering theory only at an intuitive level. For instance, the course will not delve into detailed derivations like that of the gradient update rule for logistic regression but will instead teach you how to use logistic regression and interpret the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. The focus of the course is more on practice, and theoretical aspects are covered only at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"The focus of the course is more on practice. The course will cover the theoretical aspects only at an intuitive level and emphasizes practical application. For example, it will not delve into deriving the gradient update rule for logistic regression but will teach how to use logistic regression and interpret the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"If you are interested in theoretical topics not covered in this course, you can explore other resources and courses that focus more extensively on theory. The course itself focuses mainly on practical application and covers theoretical aspects only at an intuitive level. For example, the course does not derive the gradient update rule for logistic regression. You can find other courses that provide a more in-depth theoretical treatment of such topics.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will help you understand how to use logistic regression and interpret its results. The focus is more on practical application rather than on deep theoretical derivations, but it will cover how to use logistic regression and make sense of the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"No, prior knowledge in math is not necessary for this course. Although the course covers some linear algebra, the emphasis is mostly on coding rather than on formulas. Resources are available to help you with the linear algebra content, such as the videos ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev and the ""Essence of Linear Algebra"" playlist by 3Blue1Brown. Feel free to ask the community for help with any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The course will cover some linear algebra content but will primarily focus on code with very few formulas. Specifically, the mathematical content includes basic linear algebra concepts necessary for understanding machine learning principles. If you require a refresher on linear algebra, resources such as the ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the Essence of Linear Algebra series by 3Blue1Brown are recommended.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. The course recommends watching videos such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev and the excellent playlist ""Essence of linear algebra"" from 3Blue1Brown. Additionally, you can always ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions. If you have any questions, never hesitate to ask the community for help. This support is encouraged as part of the course.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Yes, there are recommended videos for learning linear algebra. You can watch ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev or the excellent playlist ""Vectors | Chapter 1, Essence of linear algebra"" from 3Blue1Brown. These resources can help you grasp the necessary linear algebra concepts.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, you should first check your promotions tab and spam folder in Gmail. If you unsubscribed from our newsletter, you won't get course-related updates either. To make sure you don’t miss any important information, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This should be enough to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible your confirmation email went to your spam folder. According to the provided context, you should also check your promotions tab in Gmail as well as spam. If you have unsubscribed from the newsletter, you won't get course-related updates via email, but you can stay updated by joining the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Yes, unsubscribing from the newsletter will also affect receiving course-related updates. However, to ensure you don't miss any important information, you can join the #course-ml-zoomcamp channel on Slack and the Telegram channel with announcements. These channels are sufficient to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you haven’t received the confirmation email, you can still get course updates by joining the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements. This should be sufficient to ensure you don’t miss any important information or updates related to the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you are experiencing email issues and want to stay informed about the course, don't worry. You can join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This will ensure you don't miss any important updates and can follow the course effectively.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months. However, it may take longer if you choose to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
The course takes approximately 4 months to complete.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course can take more than 4 months if you choose to engage in extra activities such as additional projects or articles.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"The course duration is approximately 4 months. There isn't specific information about formal extensions to the course duration. However, if you want to take extra time for additional activities like extra projects or articles, it may take longer.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
Extra activities that might extend the course time include working on an extra project or writing an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
You should allocate around ~10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
Students of the previous cohort spent around ~10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
The estimated weekly time commitment for the course is around 10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
You can find the detailed analysis of study time requirements in an article by Timur Kamaliev. This analysis includes how much time students of the previous cohort needed to spend on different modules and projects.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to submit at least 2 out of the 3 course projects and review 3 peers’ projects by the designated deadline. This requirement remains even if you join the course late; as long as you complete the specified number of projects and peer reviews, you will be eligible for the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate for the course, you need to meet the following requirements:

1. Submit at least 2 out of the 3 required projects.
2. Review at least 3 of your peers’ projects for each of your submissions.
3. Complete these tasks by the designated deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. According to the course policy, you must complete at least 2 out of the 3 projects and review at least 3 peers’ projects for each submission to be eligible for the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"To qualify for the certificate, you need to submit at least 2 out of 3 course projects and review 3 peers' projects by the specified deadline. For the exact deadlines, please refer to the 2023 cohort deadlines page.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, you can still receive a certificate even if you don't complete the midterm project. To be eligible for a certificate, you need to complete at least 2 out of the 3 projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, you can still graduate without submitting the midterm project. According to the provided context, to receive a certificate, which is likely tied to meeting graduation requirements, you need to finish at least 2 out of 3 projects and review 3 peers' projects by the deadline. Therefore, it is possible to miss the midterm project and still graduate, as long as you fulfill the other requirements.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you are eligible for certification if you missed the midterm project. To receive a certificate, you need to complete at least 2 out of the 3 course projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project to earn the certificate. You need to submit at least 2 out of the 3 course projects and review 3 peers’ projects by the deadline to be eligible for the certificate. If you miss the midterm project but complete the other requirements, you can still receive the certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Yes, missing the midterm project does not affect your certification eligibility. According to the course guidelines, you can still receive a certificate if you complete at least 2 out of the 3 required projects and review 3 peers' projects by the specified deadlines.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"To prepare for this course, you should know the following Python basics:

1. **Running a Jupyter Notebook**: Understand how to open, run, and manage Jupyter notebooks.
2. **Importing Libraries**: Know how to import various libraries used in Python, such as `pandas`, `numpy`, etc., and understand what libraries are.
3. **Declaring Variables**: Be able to declare and use variables in Python. Understand what variables are.
4. **Data Analysis Operations**: Familiarize yourself with important data analysis operations.

If you need a refresher or don't know these basics, you can follow the free course ""Learn Python Basics for Data Analysis"" on the OpenClassrooms e-learning platform.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"To learn the necessary Python knowledge for this course, you can:

1. **Read This Article**: Ensure that you know everything in the recommended article about Python. If there's anything you don't know, read through the article to get yourself up to speed.
   
2. **Take an Online Course**: Follow the ""Introduction to Python"" course available on the OpenClassrooms e-learning platform. This course covers the Python basics for data analysis and is free. You'll learn important foundational concepts such as running a Jupyter notebook, importing libraries, declaring variables, and performing essential data analysis operations.

Both resources are excellent starting points to prepare yourself for the Python requirements of this course.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"It is important to know how to run a Jupyter notebook for this course because various tasks and installations, such as using `pip` for package installations and running specific commands, are frequently demonstrated directly in Jupyter notebooks. For example, tasks like installing Xgboost can be executed with a simple command within a notebook. Additionally, the course includes troubleshooting guidance for Jupyter notebooks, indicating that interacting with Jupyter notebooks is an integral part of the learning and assignment review process.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"For this course, you should be familiar with some basic operations regarding data analysis, including:

- How to run a Jupyter notebook.
- How to import libraries (and understanding what libraries are).
- How to declare a variable (and understanding what variables are).

These foundational skills are crucial as they enable you to perform essential tasks in data analysis effectively. You can follow a recommended English course on the OpenClassrooms e-learning platform, titled ""Learn Python Basics for Data Analysis,"" which is free and covers these basics.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you should check out the ""Introduction to Python"" course mentioned in the provided resources. This course is available on the OpenClassrooms e-learning platform and covers the basic concepts needed for data analysis, including how to declare a variable in Python. Here's the link to the course: [Learn Python Basics for Data Analysis - OpenClassrooms](https://openclassrooms.com/en/courses/learn-python-basics-for-data-analysis).","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"For the Machine Learning part of the course, you only need a working laptop with an internet connection. The Deep Learning part is more resource-intensive, but for that, you can use cloud services. The course specifically mentions using Saturn Cloud, though other cloud services are also an option.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection. However, please note that the Deep Learning part is more resource-intensive, and you might need to use cloud services for it.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. For the Machine Learning part, you only need a working laptop with an internet connection. However, for the Deep Learning part, it is suggested to use cloud resources due to its higher resource demands.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
"Yes, Saturn Cloud can be used for the Deep Learning part of the course. The course specifically mentions using Saturn Cloud for resource-intensive tasks such as Deep Learning.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp
