answer_llm,answer_orig,document,question,course
"Yes, sessions are recorded, so if you miss one, you won't miss anything. You can catch up by watching the recorded sessions and can also ask questions in advance for office hours, which are also recorded.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Yes, you can ask your questions in advance if you can't attend a live stream. You will be able to submit your questions for office hours ahead of time, and they will be covered during the live session. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, everything is recorded, so you won’t miss anything. You can ask your questions for office hours in advance, and they will be addressed during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Yes, there is a way to catch up on a missed session. Everything is recorded, so you won’t miss anything. You can also ask your questions for office hours in advance, and they will be addressed during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Yes, you can still interact with instructors after missing a session. Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"The course covers the bare minimum of theory, focusing more on practical applications. The theory will be addressed only on an intuitive level rather than in-depth. For example, while the course will explain how to use logistic regression and interpret the results, it will not derive the gradient update rule for it.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. The focus is primarily on practical applications, and the theory will only be addressed at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"The focus of the course is more on practice, with the theory covered only at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"To find more about the theoretical topics not covered in this course, you might consider looking at other courses that delve deeper into those subjects, such as the derivation of the gradient update rule for logistic regression, which is explicitly mentioned as not being covered in this course.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will help you understand how to use logistic regression and interpret its results. While the focus is on practice and the theory will only be covered at an intuitive level, you will learn how to apply logistic regression and make sense of the outcomes.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"No, prior knowledge in math is not necessary for this course. Although the course will cover some linear algebra, it primarily focuses on code with very few formulas.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The course will cover some linear algebra, but in general, there will be very few formulas, primarily focusing on code.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. The course will cover some linear algebra, and there are interesting videos you can watch, such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev and the ""Essence of Linear Algebra"" playlist by 3Blue1Brown. Additionally, you can always ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Yes, there are some recommended videos for learning linear algebra. You can watch ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev or the excellent playlist ""Vectors | Chapter 1, Essence of linear algebra"" from 3Blue1Brown.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it is normal as the process is automated and you should receive the email eventually. If you don't see it, check your promotions tab in Gmail and also your spam folder. If you unsubscribed from the newsletter, you won't receive course-related updates. To ensure you don't miss anything, consider joining the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible that your confirmation email went to your spam folder. If you haven't received the email, it's recommended to check your promotions tab in Gmail as well as your spam folder.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Yes, unsubscribing from the newsletter will affect your ability to receive course-related updates. However, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel for announcements to ensure you don't miss any important information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you don’t receive the confirmation email, check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from the newsletter, you won't receive course-related updates. To ensure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and the telegram channel for announcements. This is sufficient to stay updated with the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you're having email issues and want to stay informed about the course, you can join the #course-ml-zoomcamp channel on Slack and follow our telegram channel for announcements. This will ensure you receive updates and don't miss any important information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months, but it may take longer if you choose to engage in extra activities such as an additional project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course takes approximately 4 months, but it may take longer if you choose to engage in extra activities such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course can take more than 4 months if you want to do some extra activities, such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"Yes, it is possible to extend the course duration by engaging in extra activities such as an additional project or article, which may take longer than the standard 4 months.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
Extra activities that might extend the course time include doing an extra project or writing an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
You should allocate around 10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
Students of the previous cohort spent around 10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
The estimated weekly time commitment for the course is around 10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"You can find the detailed analysis of study time requirements in the article written by Timur Kamaliev, which discusses how much time students of the previous cohort needed to spend on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to submit at least 2 out of 3 course projects and review 3 peers’ projects by the deadline. If you fulfill these requirements, you will receive the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate, you need to submit at least 2 out of 3 course projects and review 3 peers' projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. You only need to submit at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"The deadline to qualify for the certificate is to submit 2 out of 3 course projects and review 3 peers’ projects by the specified deadline. However, the exact date for this deadline is not provided in the context. For specific deadlines, you may refer to the 2023 cohort page.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, it is possible to receive a certificate even if you don't complete the midterm project. As long as you finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline, you will be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, you can still graduate without submitting the midterm project. While you must complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline to receive a certificate, missing the midterm project does not prevent you from graduating.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you can still be eligible for certification if you missed the midterm project, as you only need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline to receive a certificate.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project for the certificate. You only need to submit at least 2 out of 3 projects and review 3 peers' projects by the deadline to be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Yes, missing the midterm project does not affect your certification eligibility as long as you submit at least two projects and review three peers' projects by the deadline. According to the course coordinator, only two projects are needed to get the course certificate.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"To enroll in this course, you should be familiar with some Python basics, such as how to run a Jupyter notebook, how to import libraries and understand what libraries are, how to declare a variable, and some important operations related to data analysis. If you have a good grasp of these topics, then you know enough Python for the course. If not, it's recommended to review these basics before joining. A helpful resource for learning these fundamentals is the free course ""Learn Python Basics for Data Analysis"" from the OpenClassrooms e-learning platform.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"You can learn the necessary Python knowledge for this course by reading the recommended article on Python basics. If you know everything in that article, you have enough knowledge. If not, you should read the article and consider joining the ""Introduction to Python"" course, specifically the ""Learn Python Basics for Data Analysis"" course available for free on the OpenClassrooms e-learning platform. This course covers the basics needed for data analysis, such as running a Jupyter notebook, importing libraries, declaring variables, and important data analysis operations.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"Knowing how to run a Jupyter notebook is important for this course because running a Python script for training a model is often more straightforward than running a notebook. The course emphasizes the use of train.py files, which serve as a simpler and more efficient way to execute training jobs, reflecting real-life practices in machine learning. This makes familiarity with Jupyter notebooks essential for managing and executing project workflows effectively.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"To succeed in this course, you should know some basic operations regarding data analysis, including: how to run a Jupyter notebook, how to import libraries and understand what libraries are, how to declare a variable and understand what variables are, and some important operations related to data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you should familiarize yourself with the basics as outlined in the article referred to in the FAQ. It is important to know how to declare a variable and understand what variables are. You can also enroll in the free course ""Learn Python Basics for Data Analysis"" on the OpenClassrooms e-learning platform, which covers the fundamentals necessary for data analysis, including variable declaration.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"For the course, there are minimal hardware requirements. You only need a working laptop with an internet connection for the Machine Learning part. The Deep Learning part is more resource-intensive, but you can use cloud services for that, such as Saturn Cloud or any other cloud service.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource intensive than the Machine Learning part. For the Machine Learning part, you only need a working laptop with an internet connection, while the Deep Learning part may require more resources, which can be managed through cloud services like Saturn Cloud or others.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
"Yes, Saturn Cloud can be used for the Deep Learning part of the course, as it is mentioned that you can use Saturn Cloud for that resource-intensive segment.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp
"Yes, it is possible to use a cloud service other than Saturn Cloud for the Deep Learning section. While Saturn Cloud is recommended, you can use any other cloud service that meets the resource requirements.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp
"You can find instructions to install TensorFlow GPU on Ubuntu by following this article: [Setting up TensorFlow with GPU support on Ubuntu](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, you may need to install CUDA and cuDNN, and a simplified guide for that is also provided in the context.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Yes, there is a guide to set up TensorFlow with GPU on Ubuntu. You can refer to the article available at this link: [Set up TensorFlow with GPU support on Ubuntu](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, you will need to install CUDA and cuDNN to run TensorFlow with GPU support. A simplified guide for this setup is also mentioned, and you can find more detailed instructions by following the installation links provided in the context.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To configure GPU support for TensorFlow on your Ubuntu machine, you need to follow these steps:

1. **Install Nvidia drivers**: You can download them from [Nvidia's website](https://www.nvidia.com/download/index.aspx).
   
2. **Install CUDA Toolkit**: You should install the CUDA toolkit version 11.x.x from the [NVIDIA CUDA Toolkit Archive](https://developer.nvidia.com/cuda-toolkit-archive).

3. **Install cuDNN**: Download and install cuDNN from [NVIDIA's cuDNN page](https://developer.nvidia.com/rdp/cudnn-download).

4. **Set up your environment**: Make sure to follow the installation instructions, particularly step 4, regarding environment variables.

5. **Install TensorFlow**: You can install TensorFlow using pip. Ensure that you install the version that supports GPU. You might also consider using Anaconda for this purpose.

6. **Verify installation**: After installation, you can test whether TensorFlow can access the GPU.

For detailed guidance, you may refer to this [article](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/) that has been helpful for others.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp
"You can follow this article to set up TensorFlow with GPU support on Ubuntu: [ML Zoomcamp 2023 Project](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, make sure to install the necessary CUDA and cuDNN components, as they are required for TensorFlow to utilize the GPU.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Can you direct me to a resource for installing TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
